"","price","building_number","street_number","street_name","city","province","squares","type","year","age","bed","bath","tax","longitude","latitude"
"166","$929,900","1504","210","Salter Street","New Westminster","BC","1,228 sq.ft.","Residential, Condo",2017,1,2,"2","$3,753",-122.9218225,49.1953003
"167","$929,900","1401","188","E Esplanade Avenue","North Vancouver","BC","954 sq.ft.","Residential, Condo",2008,10,2,"2","$2,590",-123.0765653,49.3100818
"168","$929,000","2603","4250","Dawson Street","Burnaby","BC","1,157 sq.ft.","Residential, Condo",2008,10,3,"2","$2,977",-123.0104646,49.2641593
"169","$929,000","306","10788","No 5 Road","Richmond","BC","1,093 sq.ft.","Residential, Condo",2018,NA,3,"2","$1,966",-123.0894549,49.1344277
"170","$929,000","701","251","E 7th Avenue","Vancouver East","BC","827 sq.ft.","Residential, Condo",2012,6,2,"2","$2,026",-123.0996932,49.2647397
"171","$929,000","3106","1408","Strathmore Mews","Vancouver West","BC","720 sq.ft.","Residential, Condo",2003,15,1,"1","$1,983",-123.126554,49.2727132
"172","$929,000","702","995","Roche Point Drive","North Vancouver","BC","1,469 sq.ft.","Residential, Condo",1989,29,2,"2","$3,457",-122.969894,49.315379
"173","$929,000","109","1500","Pendrell Street","Vancouver West","BC","978 sq.ft.","Residential, Condo",1979,39,2,"2+1","$1,792",-123.1373304,49.2854543
"174","$928,800","2801","2345","Madison Avenue","Burnaby","BC","1,127 sq.ft.","Residential, Condo",2007,11,3,"2","$2,939",-123.0110399,49.2630339
"175","$928,000","412","1635","W 3rd Avenue","Vancouver West","BC","801 sq.ft.","Residential, Condo",2010,8,2,"2","$1,842",-123.1418241,49.2689677
"176","$928,000","1207","6461","Telford Avenue","Burnaby","BC","906 sq.ft.","Residential, Condo",2014,4,2,"2","$2,734",-123.0040735,49.2251902
"177","$928,000","308","2105","W 42nd Avenue","Vancouver West","BC","1,033 sq.ft.","Residential, Condo",1994,24,2,"2","$2,179",-123.155925,49.2337432
"178","$928,000","Ph9","5723","Balsam Street","Vancouver West","BC","963 sq.ft.","Residential, Condo",1996,22,2,"2","$1,817",-123.1617697,49.234394
"179","$928,000","1505","7535","Alderbridge Way","Richmond","BC","1,305 sq.ft.","Residential, Condo",2007,11,3,"3","$2,069",-123.1447758,49.1729875
"180","$928,000","1601","1323","Homer Street","Vancouver West","BC","966 sq.ft.","Residential, Condo",1993,25,2,"1","$2,221",-123.1254566,49.2742371
