"price","address","squares","type","year","age","bed","bath","tax","fee"
"$948,000","2304 8131 Nunavut Lane, Vancouver West, BC","760 sq.ft.","Residential, Condo","2016","2","2","2","$2,194",NA
"$948,000","2802 928 Beatty Street, Vancouver West, BC","865 sq.ft.","Residential, Condo","2005","13","2","2","$2,226",NA
"$947,900","2308 8031 Nunavut Lane, Vancouver West, BC","781 sq.ft.","Residential, Condo","2016","2","2","2","$2,345",NA
"$945,000","803 1341 Clyde Avenue, West Vancouver, BC","1,067 sq.ft.","Residential, Condo","1976","42","2","2","$1,970",NA
"$945,000","Ph2 611-611 W 13th Avenue, Vancouver West, BC","1,137 sq.ft.","Residential, Condo","1992","26","2","2","$2,495",NA
"$945,000","25 6088 Beresford Street, Burnaby, BC","1,430 sq.ft.","Residential, Condo","2014","4","3","3+1","$3,197",NA
"$940,000","514 555 Abbott Street, Vancouver West, BC","833 sq.ft.","Residential, Condo","1995","23","2","1","$1,530",NA
"$939,900","1002 162 Victory Ship Way, North Vancouver, BC","900 sq.ft.","Residential, Condo","2010","8","2","2","$2,558",NA
"$939,900","502 300 Morrissey Road, Port Moody, BC","1,095 sq.ft.","Residential, Condo","2021",NA,"2","2",NA,NA
"$939,000","411 680 Seylynn Crescent, North Vancouver, BC","1,058 sq.ft.","Residential, Condo","2018",NA,"2","2",NA,NA
"$939,000","111 1111 E 27th Street, North Vancouver, BC","1,050 sq.ft.","Residential, Condo","2009","9","2","2","$3,349",NA
"$939,000","111 2738 Library Lane, North Vancouver, BC","947 sq.ft.","Residential, Condo","2018",NA,"2","2",NA,NA
"$939,000","307 1066 Hamilton Street, Vancouver West, BC","964 sq.ft.","Residential, Condo","1911","107","1","1","$1,987",NA
"$939,000","206 217 W 8th Street, North Vancouver, BC","1,016 sq.ft.","Residential, Condo","2013","5","2","2","$2,534",NA
"$938,900","211 209 E 20th Avenue, Vancouver East, BC","747 sq.ft.","Residential, Condo","2019",NA,"2","2",NA,NA
"$938,900","415 2388 Western Parkway, Vancouver West, BC","835 sq.ft.","Residential, Condo","2006","12","2","2","$1,661",NA
"$938,000","323 2280 Wesbrook Mall, Vancouver West, BC","1,024 sq.ft.","Residential, Condo","2005","13","2","2","$1,295",NA
"$938,000","409 4101 Yew Street, Vancouver West, BC","1,165 sq.ft.","Residential, Condo","1974","44","2","2","$1,947",NA
"$938,000","3504 5470 Ormidale Street, Vancouver East, BC","848 sq.ft.","Residential, Condo","2018",NA,"2","2",NA,NA
"$938,000","906 555 Jervis Street, Vancouver West, BC","670 sq.ft.","Residential, Condo","1996","22","1","1","$1,593",NA
"$938,000","1801 188 Agnes Street, New Westminster, BC","1,154 sq.ft.","Residential, Condo","2017","1","2","2",NA,NA
"$938,000","312 5955 Birney Avenue, Vancouver West, BC","946 sq.ft.","Residential, Condo","2013","5","2","2","$1,536",NA
"$938,000","903 1277 Nelson Street, Vancouver West, BC","938 sq.ft.","Residential, Condo","1995","23","2","2","$1,658",NA
